,,,,,,,
,Badminton,,,,,,
,No,Nama Lapangan,Kota,Lokasi ,Rentang Harga,Fasilitas,Image Address
,1.,Gator Arena,Jakarta,"Jl. Kapuk Muara Raya No.5A, RT.7/RW.1, Kapuk Muara, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14460",Rp 70.000/jam,"1. AC
2. Parkir Luas
3. Toilet
4. Ruang Ganti
5. Kantin","https://asset.ayo.co.id/image/venue/170227522041464.image_cropper_24B22162-59C6-46DF-AF2D-4DC3F43AD37E-2769-0000018DA216EF5D.jpg 

https://asset.ayo.co.id/image/venue/173209549865027.image_cropper_DAD55499-EB67-453E-AFC9-5FD6CEF70D19-15871-000005A48322D2F3_small.jpg "
,2.,Gor Badminton Lodaya,Bandung,"Jl. Lodaya No.20, Malabar, Kec. Lengkong, Kota Bandung, Jawa Barat 40262",Rp 50.000 - 80.000/jam,"1. Indoor
2. Parkir
3. Toilet
4. Ruang ganti","https://lapanganonline.com/assets/img/court/GOR-lodaya-bandung-2_thumb.jpg 

https://cdns.klimg.com/newshub.id/hyperlocal/bandung.merdeka.com/news/2016/10/17/101686/yuk-nonton-peparnas-bulutangkis-di-gor-lodaya-bandung-1610176.jpg "
,3.,CandraWijaya Badminton,Tangerang,"Jl. Jelupang Raya No.15, Jelupang, Kec. Serpong Utara, Kota Tangerang Selatan, Banten 15323",Rp 35.000 - 55.000/jam,"1. Indoor
2. Parkir
3. Toilet
4. Kantin","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr3L6EDtT2kDgWzLDUmMnls0kqatxwMjBoB9wgWoAetkm7bsDV5MRnQuugdy7zDe292TaQL1sJZ_yNWUJuu5c38sueARabq0QUlxyc79M7Vyjrl9SbOZQHhrCsXdXIxVonBo-sEkg=s1360-w1360-h1020-rw 

https://lh3.googleusercontent.com/gps-cs-s/AC9h4nocf-NN24nw6A0Pv_ZRXDlLov2N98-TTEGi2whjBYNAIg2JkDItzxWBI7SYFUbDS2QYXeNMzeszPLinOCyQMD__uy4OmoTx-1BG_52AdBdCMviD9l6JFrz-RBo7Ppnx7J7Hr4Mm=s1360-w1360-h1020-rw "
,4.,GOR Bulutangkis Soedirman,Surabaya,"Jl. Dr. Ir. H. Soekarno No.8, Manyar Sabrangan, Kec. Mulyorejo, Surabaya, Jawa Timur 60116",Rp 50.000 - 100.000/jam,"1. Parkir
2. Toilet
3. Ruang Ganti
4. Standar Internasional","https://direktori.vokasi.unair.ac.id/wp-content/uploads/2024/07/image-21-2-840x450.png 

https://lapanganonline.com/assets/img/court/GOR-Sudirman_thumb.jpg "
,5.,Hidayat Badminton Hall,Makassar,"Perum. Bumi Tamalanrea Permain, Blk. H, Tamalanrea, Kec. Tamalanrea, Kota Makassar, Sulawesi Selatan 90245",Rp 25.000 - 40.000/jam,"1. Parkir
2. Toilet
3. Ruang Ganti
4. 6 lapangan","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq5L04wFkDHBmEFutwu4dFnAEjnsVVtrQLe7_PyggBWBPh9cYpxWNjhVoTIXso5srtRRz9p9wq3Af5VL2Kkzl5mgiBqnFNIegQOxMunMUIdD2jNNngPHhTM58oKeRLSmaEGMUqtvA=s1360-w1360-h1020-rw 

https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqt04QOGH5cKsWR-RXu7eo7OLCQOhbR1qtdzmKWf5ZZ-Mmv9fm51s-s_sDFyokrGUjbw7MY2BiLYKztrCiREBJPSiXPY6PsHFDFdXD20df57P3Z9Rk07MzJLLB6_yyQpZVdzsiG=s1360-w1360-h1020-rw "
,6.,GOR Lembah UGM,Jogja,"Universitas Gadjah Mada, Jl. Olahraga No.1, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Rp 40.000 - 60.000/jam,"1. 7 lapangan
2. Cocok Untuk Turnamen","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr0xfvkKKUEX2FtEkXZCtQtSxgqhQn1c9V1tYU2LixRXHGQeWVvSCh6O9lkKFzIhhZmSGcn00AkWg9Oh5AI42_KLlb0JPCkTqtwmFfrxSAnTEZ5CXjoprbyip6lG_Q6b9QgEi1Alhz8Nvmc=s1360-w1360-h1020-rw 

https://lh3.googleusercontent.com/p/AF1QipO3CbuAY4WEMiVfWznKCKAzrsqZOKJcYiKMkhMl=s1360-w1360-h1020-rw "
,7.,JayaPrana Badminton,Denpasar,"Jl. Lange V No.9, Pemecutan Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80119",Rp 50.000 - 90.000/jam,"1. AC
2. Parkir
3. Toilet
4. Dekat Bandara","https://lh3.googleusercontent.com/p/AF1QipNErrgAW9vAiH7LrOywFMjCBIiX3X7o9obVZFdH=s1360-w1360-h1020-rw 

https://lh3.googleusercontent.com/p/AF1QipP0IXhHgZwsF87pv8sdfngY-_FHPKJwq-IPzseR=s1360-w1360-h1020-rw "
,8.,Cemerlang Badminton,Palembang,"Jl. AKBP Cek Agus No.289, 8 Ilir, Kec. Ilir Tim. II, Kota Palembang, Sumatera Selatan 30163",Rp 70.000 - 110.000/jam,"1. 8 Lapangan BWF
2. Permukaan Vinyl","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr7dP6aVqacp3_mYcVWKKQmNXMIsCxZ1GlBFPeYxwXJ5woZ9u2iR-NiwQOJ98571VMDNXMsWlk08W_t4q0DeoU1_0y9riNtCQ0bMGl2Anl_zgOyEPa9PPzCsFWxptGJFHjqiqV0=s1360-w1360-h1020-rw 

https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqy02NeWMS6UnD3zcg9tQO38mPBYnh11Jn2CBNONmkH4M3LEMfTjPgtDZOM_wr6MHr-9aaoKSbxnwRK62T5vEnK308TFtiiDqmX04laAFx_tgouHdwQRKqhzzpLz7lKmt9uliG-yg=s1360-w1360-h1020-rw "
,9.,Smashville Badminton,Semarang,"No.1G, Jl. Kr. Rejo Raya, Srondol Wetan, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50264",Rp 65.000/jam,"1. AC
2. Toilet
3. Ruang Ganti","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq38ohhQPDVwe-E7OUzhpQyoMTlMZeVjB9MHhCbvCdFBP-2z--5teluygx2rG6ZRTfEAMoAXiSiEt4y3UhOdHuH33YHlVGShrrWK96iCATfrb0-dFk1Kc5tTIxFBi2FlYNMTBKKKg=s1360-w1360-h1020-rw 

https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq0mdKW8LtTJu_4DChhrF9hSohUgeeVdgXg5FvzEWKAqQ7FlMX5Azi2HerZUL0mSOR4azmWyYlvMrOPynKAGdrnMrQb6QLs77OQeaFUXwRlS78umESHj-prBrDXbv2zTv7QjEeQSQ=s1360-w1360-h1020-rw "
