,,,,,,,
,Basket,,,,,,
,No,Nama Lapangan,Kota,Lokasi ,Rentang Harga,Fasilitas,Image Address
,1.,East Court - AirZone Basketball Court Pondok Indah Jakarta Selatan,Jakarta,"Jl. Metro Pondok Indah Blok E No. 15, Pondok Pinang, Jakarta Selatan 12310",Rp 300.000 - 500.000/jam,"Lantai parket, Scoreboard digital, Kantin","https://gelora-public-storage.s3-ap-southeast-1.amazonaws.com/upload/public-20211103124137.jpg

https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.gelora.id%2Fv%2Fairzonebballcourtpondokindah%2Fabout&psig=AOvVaw3zOFYaIIcRvX6LoPfBm_VV&ust=1760000179822000&source=images&cd=vfe&opi=89978449&ved=0CBUQjRxqFwoTCJj24d-dlJADFQAAAAAdAAAAABAL "
,2.,Flek Court Surabaya,Surabaya,"Jl. Raya Darmo No. 88, Darmo, Wonokromo, Surabaya 60241",Rp 350.000 - 550.000/jam,"Indoor court, Tribun penonton, Lampu Sorot","https://www.dblacademy.com/img/lapangan2.jpg

https://www.dblacademy.com/img/lapangan1.jpg "
,3.,The Arena Basketball PVJ,Bandung,"Paris Van Java Mall Lt. 3, Jl. Sukajadi No. 137-139, Bandung 40162",Rp 250.000 - 450.000/jam,"Indoor court, Tribun penonton, AC","https://asset.ayo.co.id/image/venue/170003800277035.image_cropper_57F0FE3D-3F2C-484F-81A3-B51A20E53D60-67054-000009F27EB246C9_large.jpg

https://www.rajawaliparquet.com/wp-content/uploads/2025/06/lapangan-basket-the-arena-PVJ-bandung-4.jpg "
,4.,Makassar Basketball Court,Makassar,"Jl. Boulevard Raya No. 25, Panakkukang, Makassar 90231",Rp 250.000 - 350.000/jam,"Outdoor view, Tribun, Toilet","https://flex.co.id/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZDg9IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--0c378e5009afbd532c77ba303fd52031935900d9/1%20(3).jpg

https://flex.co.id/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZUE9IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--ed9cb790e44ce035ad4e7725360b04be74f9f505/6.jpg "
,5.,RnQ Basketball,Medan,"Jl. Gatot Subroto No. 76, Sei Sikambing, Medan 20122",Rp 150.000 - 250.000/jam,"Outdoor premium, Lampu sorot, Parkir","https://gbk.id/upload/1641348376-basketballoutdoor2.jpg

https://reservation.gbk.id/assets/frontend/img/venue/galleries_185.jpg "
,6.,Brave Arena,Semarang,"Jl. Pemuda No. 45, Sekayu, Semarang Tengah 50132",Rp 150.000 - 250.000/jam,"Lantai parket, Scoreboard digital, Kantin","https://semarang.ca/wp-content/uploads/2025/01/lapangan-basket-semarang-sewa-gratis-umum-dan-berbayar-e1736576408664.jpg

https://media.istockphoto.com/id/1161312533/id/foto/lapangan-basket-terbuka-luar-ruangan.jpg?s=612x612&w=0&k=20&c=ctkNDSMNroS8-h9vTa9NOqucrT79qJUGAmCeZ2oyc_I= "
,7,Farious Arena,Yogyakarta,"Jl. Laksda Adisucipto No. 32, Demangan, Depok, Sleman 55281",Rp 350.000 - 650.000/jam,"Mall access, Food court, AC full","https://image.idntimes.com/post/20220722/homecourtbasketball-47693287-758647784511484-7615415212752348639-n-4b05e1ad11e871221e4135e0f2a9a211-4cafb5e6646a483beaf65bd80061cb6b.jpg

https://www.rukita.co/stories/wp-content/uploads/2019/11/lapangan-basket-di-jakarta---brick-house.jpg "
,8.,Bali Basketball Beach,Denpasar,"Jl. Pantai Sanur No. 18, Sanur Kauh, Denpasar Selatan 80227",Rp 200.000 - 600.000/jam,"Resort style, Restaurant, Kolam renang","https://www.shutterstock.com/image-photo/alanyaturkey-08012023-basketball-court-cleopatra-260nw-2340517887.jpg

https://image.idntimes.com/post/20220804/basket6-c7c8a956c08d5240d23a9803c984bd4e-e5290ea2abe7548f6638d4564393df68.jpg"
,9.,Palembang Hoops Arena,Palembang,"Jl. Kol. Atmo No. 112, Kenten, Talang Kelapa, Palembang 30961",Rp 160.000 - 320.000/jam,"Community court, Cafe, Sound system","https://www.dbl.id/uploads/post/2023/05/31/GOR%20Pacific%20Caesar.jpg

https://i.ytimg.com/vi/4C8ezN735uA/maxresdefault.jpg"
,10.,Tangerang Basketball Pro,Tangerang,"Jl. Imam Bonjol No. 52, Karawaci, Tangerang 15115
",Rp 240.000 - 460.000/jam,"Kantin, Parkir, AC","https://gelora-public-storage.s3-ap-southeast-1.amazonaws.com/upload/public-20221002131419.jpg 

https://lh5.googleusercontent.com/p/AF1QipN5SqWSNQdumCW6WxJ-5_i3Hgth6AobQPuj_wTy=w408-h306-k-no "
