,,,,,,,
,BILLIARD,,,,,,
,No,Nama Lapangan,Kota,Lokasi ,Rentang Harga,Fasilitas,Image Address
,1.,"Afterhour Blok M
",Jakarta,"Jl. Sultan Hasanudin No.51/52, RT.12/RW.6, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12180",Rp60.000 - Rp120.000/jam,"1. Pool Table
2. Lounge
3. Karaoke
4. Bar","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqY6YVuuSz2Ouub8id-Hgjz28KDs4eAqHDy7g8MD6eteSG-7STOayRfh94vYynBtQZkWk7ROOGmaDZW6tdBiNxqlxEgIt_zTy-yafxEjG2mpIS8dktWNsk6xMnk0kg1VSWWzkz7TQ=s1360-w1360-h1020-rw

https://lh3.googleusercontent.com/gps-cs-s/AC9h4npOLiUJzPNU-TDIkPF9zWlt7agNFFaR4sod4xOqLXOhXaqI6wVKKSWAoEAMZ-ND7DPVdpItddAcXYr2dp7SDeoPsca8fiKHLM7j2t6t0X5ubdM8Y_uhhXxMxwC9w81siNwyFCMD2AftO90N=s1360-w1360-h1020-rw"
,2.,Lucky Shot Billiard Bandung,Bandung,"Jl. Karangsari No.15, Pasteur, Kec. Sukajadi, Kota Bandung, Jawa Barat 40161",Rp50.000 - Rp80.000/jam,"1. Pool Table
2. Free Wi-Fi
3. Karaoke","https://lh3.googleusercontent.com/p/AF1QipN5G4UdXPuHu0StZVwEsOSh3GAVFPYZ5UqVn-NO=s1360-w1360-h1020-rw

https://lh3.googleusercontent.com/p/AF1QipOaDBhsJbC1PSNm2sfOZXmqJhPbf5jn8NGJqCQh=s1360-w1360-h1020-rw"
,3.,Daruma Pool & Coffee,Tangerang,"Metropolis Town Square, Metropolis town square, Jln Hartono Raya No 3 Rt 003/006, Jl haryono raya Lt.1, RT.002/RW.006, Klp. Indah, Kota Tangerang, Banten 15118",Rp50.000/jam,"1. Pool Table
2. Free Wi-Fi
3. Bar","https://lh3.googleusercontent.com/gps-cs-s/AC9h4npvByZFWr6064epZlVmim1hL_i85r00-BoyR3blDb-rUg1usNhS695jcVfEzTkMK5Hd6EUZrQSQA8R2w74UP_seHnqnfZcQs93UxwfhLRYKU5PswjAcUeqRgbCno14R-9QheVQS=s1360-w1360-h1020-rw
https://lh3.googleusercontent.com/gps-cs-s/AC9h4noiy4yrPfJMx7U5xQU8Xdxyqt2WOjsJmvHrqw1rQAk0oIKiXfLMHsKjdwjJD__cHOB11IRk9PLye7ky_ZN6UIKXJ8SCnrgSRhkoBrP-nG9NOu1ysCWg-rca0EYSLTRDBA7hFW77xg=s1360-w1360-h1020-rw"
,4.,PROBET BILLIARD SURABAYA NO 1 DI INDONESIA,Surabaya,"Jl. Panjang Jiwo No.52, Panjang Jiwo, Kec. Tenggilis Mejoyo, Surabaya, Jawa Timur 60299",Rp20.000 - Rp35.000/jam,"1. Pool Table
2. Bar","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr658EYuRd0q85jabSqrsdNZop2evWsbAAVgdlI69fdQC6hmVyfcUx-cIWGX-r5EL886-VN4uSowsWq-RJUNpYuNJ8T0Ggn-Fu5PhetZcQ_hhvE6vUBTEmDxebkuT3a9OPqPbU=s1360-w1360-h1020-rw

https://lh3.googleusercontent.com/gps-cs-s/AC9h4npeV-107Maqbm_JhfFe1qh-4qj0sBzePwDJsccrazVp1sBsKMlXZ_TXWw_nq39HVKWx1XkbUYROrMQqVnBKJzAnp1inZD9W7UruO7Z_OJLnkGk9F5egDgMNX3mkhMuqoXP365ttDQ=s1360-w1360-h1020-rw"
,5.,Dragon billiard and cafe,Makassar,"Jl. G. Bawakaraeng No.74-80, Pisang Utara, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90151",Rp45.000 - Rp65.000/jam,"1. Pool Table
2. Live Music","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrgGeiES7cten0Tzvn_QOh5Rot1yY472NTViHlM1AmSucd97na7m6YSyPeOO9RA-vIF9BfK9Iua5wZewKOwxW0DvrcX9IS37Cpa2hsn9gdbMyY16S1Pocgsp-r60rLwpUdcnGU=s1360-w1360-h1020-rw

https://lh3.googleusercontent.com/gps-cs-s/AC9h4noXm8rZ3JF_JXO4Wk08t6UnNXehVpwMtEaFMtDXqjkx0Y9mljt-aTmNiiHBcODNkFWvIrEtrb4LqSVW6m6LTUjCAdFoOHpeoDwPmjYR-VdC_4ZcTjTRYhZVyHEdHnq1vD192Vd68Q=s1360-w1360-h1020-rw"
,6.,Bliss Pool and Lounge,Jogja,"Jl. Demangan Baru No.14 A, Demangan Baru, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Rp20.000 - Rp50.000/jam,"1. Pool Table
2. Bar","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr98dBEf2APJwyNAK-Wh-QEB7kbeJEjNH2m-XWZjaByn_ufvZHB6SWSTFbiQ5CDw9KMXddeGpWyLAxtKanjNMc8QBMOBz6uoKYSximAPRoqAR_d7V9h5SGSprrosf-vceHj-UiE=s1360-w1360-h1020-rw

https://lh3.googleusercontent.com/gps-cs-s/AC9h4noDpJup1WAZ7toXMtKC5YyA4r5PJQQvoXkDV3t3tKB3lXKgta_kL23JdTMcAa9cSXCmps7jT3rIY8PTLuI5D6vPUtOWzJL1mKp1GRdwX9G98eI7DOoAu8ovn9_hhZwfWcBAXUgX4A=s1360-w1360-h1020-rw"
,7.,Captain Billiard and Coffee,Denpasar,"Jl. Maruti No.33, Pemecutan Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80231",Rp35.000 - Rp40.000/jam,"1. Pool Table
2. Bar","https://lh3.googleusercontent.com/p/AF1QipMciWXiYN9fMSAGOgXtlTaYQ_SZLTY1ozPDKRBe=s1360-w1360-h1020-rw

https://lh3.googleusercontent.com/p/AF1QipPPnd7vUM7S0yDbT-J2-CUr5jnfKxOrGXdOjdEl=s1360-w1360-h1020-rw"
,8.,Central Billiard Palembang,Palembang,"Jl. Naskah I, Sukarami, Kec. Sukarami, Kota Palembang, Sumatera Selatan 30961",Rp25.000 - Rp50.000/jam,"1. Pool Table
2. Bar","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqih5azELDhtC9puC8q0MSFI_ttRM-3Dfyxmkk0uNc4xGgzQevmRMoQnuPRVizjnKyLIqngFFPQc8ArtLTZRzgqMfgxgA_Ozl9fjuohAXgcj9PriSBZH3DMMRBPu-SgaGe4EN24IQ=s1360-w1360-h1020-rw

https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqDFtfxZTXfaiNNAo5bcRuUZKGKUpQsLKav_eqznDTztpK1lq5WTgWSWH4qBwVYStcx9GYq-qZ6Mb0OzaVa4UeT3kW_gs68MQCqlw7B1-A07kFofme0sASrnR-Z8qCDVNschrJo9g=s1360-w1360-h1020-rw"
,9.,Jj billiards ,Semarang,"Jl. Kedungmundu No.51, Sambiroto, Kec. Tembalang, Kota Semarang, Jawa Tengah 50276",Rp60.000/jam,"1. Pool Table
2. Bar","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrstZUyK-L7G5EfWo-XnTE0Ez4_VoRkUFFqrbGyWP0y8sTEJyYi86k1_EBbjUctqn5NV5CiBXt6HY95CtwPUJXOpxVahQbvSzR88CQLjqV1MXa6LgJTDA4CHEB0Us82H9vC3jF4=s1360-w1360-h1020-rw

https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrsvxL0Xz9prbPyOpzc5okyanGbZHMt6VjIRN_vgCtUqGT87XP5uHEbALYwa7k7MqzLzuN3qvoDEU0ou3S4B5awrhzirv6U3h6_fNW5Lg79fk4xcrz-GLWVIyOMwuwjq316AgiI=s1360-w1360-h1020-rw"
