,,,,,,,
,Futsal,,,,,,
,No,Nama Lapangan,Kota,Lokasi ,Rentang Harga,Fasilitas,Image Address
,1.,The Saintuary Sports Hub,Jakarta,"Jl. Gatot Subroto No.Kav 55, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12830",Rp 125.000/jam,"1. 9 lapangan multi-fungsi
2. Modern
3. Parkir","https://asset.ayo.co.id/image/venue/170773235688031.image_cropper_1707732280795_large.jpg 

https://ecatalogaset.bulog.co.id/storage/images/galleries/s4V4bYv0gGcTikIRdN5zsdd2VNefKXFtKTkVyoge.png "
,2.,YPKP Futsal,Bandung,"Jl. Khp Hasan Mustopa No.70, Cikutra, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat 40124",Rp 100.000 - 150.000/jam,"1. Indoor
2. Parkir luas
3. Toilet
4. Ruang ganti","https://lh3.googleusercontent.com/gps-cs-s/AC9h4npEZkPwHaq5VZmXCDtUP8bz83gclHjlXZaAWV8aoLZwZWum_QL1bQdArJYESK1reJoBRsTHPUnm_LdaigK5gkiYfKERflAL5ihchnx_Hz2NLomAWBIWbdJPhZjkXduX7CsTE5dz=s1360-w1360-h1020-rw 

https://lh3.googleusercontent.com/gps-cs-s/AC9h4npQl0FQOpg1PEOSZiSGYv5oPuAyquV4tI5MlsLWJ0ZaezOWk5ZLbYzSgWLgUUqWfovADdiu_z0sfrTmdvJRJjTNIHrxzmlGnwK4wAhSqLaXBFXTXhTBYImpNDg5lqpbdT9OZLC-YA=s1360-w1360-h1020-rw "
,3.,MS Sports Arena,Tangerang,"Kavling Ocean Walk, Jl. Pahlawan Seribu Blok CBD LOT No.VI A, Lengkong Gudang, Kec. Serpong, Kota Tangerang Selatan, Banten 15322",Rp 110.000 - 170.000/jam,"1. Indoor
2. AC
3. Parkir mall
4. Toilet
5. Modern","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrVszTytHOgJa2rPWsc0jRhp5YSCJTnDywaFGZPUN_T19l76b9RXAV82sI4ImDhIwiFeN31E8ahPljEmROaCs8aC5p5IfazMhuqCMm2-XOXE8XqM_4JCLlPh8N8awgnH7g-i6GL=s1360-w1360-h1020-rw 

https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrH3g94XwZw-YoQEHHfKQGSo_LpquxS2Ca7VXHB2fTOHUJH-QM1gV3y7b2ypdKhbSPuo4NnvtK9jVmy2jrS_EF5QQkcM6eRhiFXWTXxMppEoI0ETdPTztjIuxxJP9GLBUBRf6SHgw=s1360-w1360-h1020-rw "
,4.,Bhaskara Futsal Arena,Surabaya,"Jl. Manyar Jaya Praja I No.47, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118",Rp 100.000 - 150.000/jam,"1. Indoor
2. AC
3. Parkir
4. Toilet
5. Kantin","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nos1ciYbEKC80li9DQtYWuK8GTZxxmKna65H8NSz6r3S7KEPHkOnGVjoo7tgX2dxrgYkW_ZjlGDsH_z5ZXeq-O4ka9SJmbLfCV4djEql1KrBxdpOF-Ln03_T1SfSbAv9W9SR_CG=s1360-w1360-h1020-rw 

https://lh3.googleusercontent.com/gps-cs-s/AC9h4noRarcDEPsKwH6Co4QLFvXOAxyHOf5IpwZeqbBdA9GisBdBIWDtrpDyODv32jsJrNRYdJIzT0VAsdNoxZpHGlj4qbH7d366GeBVk98wuYLdnvbO6XI3Iwwg2xyOO9eJFn104WuK=s1360-w1360-h1020-rw "
,5.,Celebes Futsal Arena,Makassar,"Jl. Tamangapa Raya 3 No.24, Bangkala, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90235",Rp 80.000 - 120.000/jam,"1. Indoor
2. Parkir
3. Toilet
4. Kantin","https://lh3.googleusercontent.com/gps-cs-s/AC9h4noGIgGtjX65JvyVYK6KWQzNAJ-GdWoLEYFiPncN7-jKztdw5gItyRmCa-jN350Q2LjxAZ5d1ub1p0E_quONhymzTQDhnMBZVZ_gRgc_L8Yh7wusOuCXkXCElcKVUt-6pwzLpI7G=s1360-w1360-h1020-rw 

https://lh3.googleusercontent.com/gps-cs-s/AC9h4no9y6Nd2KkSu1lgIZQjQM-PHi33-LH8G2ysODtz1Cnhoo4r1lUHSym1Z7RZvmxAlRUXayAqxvkz0i34AzimRPOMuJVD7nu4iPJH-MpfT3jLgQalbSwiIqsK72SrtU-YsrNsvqA=s1360-w1360-h1020-rw "
,6.,Futsal JogoKaryan,Jogja,"Jl. Jogokaryan No.65, Mantrijeron, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55143",Rp 90.000 - 130.000/jam,"1. Indoor
2. Parkir
3. Toilet
4. Kantin","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrMJ-rxShPbW-tJWGVhk5TI4DNjXavNsCuohpqPYMAgW23o6IzAxp9ZrIwtpdDxCDN3_46xSXOOrF2WoXa0Ubyu9EmyaIsrqEULkN8zhLPyV7k5JKFbjn099SPSiHMklVpL4cAq=s1360-w1360-h1020-rw 

https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrhYwoBdK4nnNhKl1_HzqzelNrfAO7DSsqkT64EwVRfczg0FsMbW7oKP45Qwnk43zejqTDlD3h5DAeJu_2otJ5jSGMwQ5IWbgR10Q5-3pub8UGCAN9-a0gy9C2WyvX70P4JfaQKEg=s1360-w1360-h1020-rw "
,7.,MY STADIUM,Denpasar,"Jl. Teuku Umar Barat No.351a, Padangsambian, Kec. Denpasar Bar., Kota Denpasar, Bali 80117",Rp 100.000 - 160.000/jam,"1. Indoor
2. AC
3. Parkir
4. Dekat Pusat Kota","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrVkqxQxIsXBQ6mZSHvQSSOj9Qa_owEJTBumIfvyYu4sBMxtJEZ0zxaof7mfwekdH0668QmrefwxPxMWQJmiOJZ7-uFe4xJn-eFAoSv9uzAbgzNAKddT-SCzS7xVDfAW3jM32Q=s1360-w1360-h1020-rw 

https://lh3.googleusercontent.com/p/AF1QipOkA7DZ4HGbusgcADzLCuZTfOY7vGhzZ-DG_-5R=s1360-w1360-h1020-rw "
,8.,Angkasa Futsal Stadium,Palembang,"Jl. MP. Mangkunegara, 8 Ilir, Kec. Ilir Tim. II, Kota Palembang, Sumatera Selatan 30114",Rp 70.000 - 110.000/jam,"1. Indoor
2. Parkir
3. Toilet
4. Kantin","https://lh3.googleusercontent.com/p/AF1QipNS_Z0t6HlmyaQdqRhX1mI-mfAgFoI7_JIUTGe9=s1360-w1360-h1020-rw 

https://lh3.googleusercontent.com/gps-cs-s/AC9h4npYj2TP4QMpvQX6CTDT6Yp0NTbgLnoe5ffpQWAlP7EVKBNAgk1eSDTjGoeaduox5emEBaEPb2x2MjjUf8hCuvqwrjzfhOM53fjRIAX8y6dPubk1pPdxCBqrQVaZCtzH8Ikk-7Faow=s1360-w1360-h1020-rw "
,9.,Galaxy Futsal,Semarang,"Jl. Tlogo Biru II, Tlogosari Kulon, Kec. Pedurungan, Kota Semarang, Jawa Tengah 50196",Rp 80.000 - 120.000/jam,"1. 20 Lapangan
2. Parkir Luas
3. Toilet","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq38ohhQPDVwe-E7OUzhpQyoMTlMZeVjB9MHhCbvCdFBP-2z--5teluygx2rG6ZRTfEAMoAXiSiEt4y3UhOdHuH33YHlVGShrrWK96iCATfrb0-dFk1Kc5tTIxFBi2FlYNMTBKKKg=s1360-w1360-h1020-rw 

https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq0mdKW8LtTJu_4DChhrF9hSohUgeeVdgXg5FvzEWKAqQ7FlMX5Azi2HerZUL0mSOR4azmWyYlvMrOPynKAGdrnMrQb6QLs77OQeaFUXwRlS78umESHj-prBrDXbv2zTv7QjEeQSQ=s1360-w1360-h1020-rw "
