,,,,,,,
,PADEL,,,,,,
,No,Nama Lapangan,Kota,Lokasi ,Rentang Harga,Fasilitas,Image Address
,1.,House of Padel,Jakarta,"Agora Mall, Jl. M.H. Thamrin No.10 Lantai 26, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta",500.000 / jam,"1. Ruang Ganti
2. Loker
3. Shower Room
4. Handuk Gratis
5. Toilet yang Bersih Dengan Nuansa Hijau dan Terkota
6. Tempat Parkir yang Tersedia di Agora Mall.","68554be4b33a61437e82fe59_house-of-padel-jakarta-courts-mejorset.webp


https://cdn.prod.website-files.com/639778ab6f2e51ed2139df9a/68554be8d572565994778da5_house-of-padel-jakarta-courts-mejorset-2.webp"
,2.,Graha Padel Club,Surabaya,"Ko Graha Famili Blok TP No.10, RT.000/RW.00, Pradahkalikendal, Dukuhpakis, Surabaya",250.000/ sesi,"1. Tribun Penonton
2. Parkir Mobil
3. Parkir Motor
4. Jual Minuman
5. Hot Shower
6. Cafe & Resto","174217663064767.image_cropper_76134A67-B2B9-43AC-9541-89FBDBD60734-27195-000003B134633EEF.jpg_large.jpeg

https://asset.ayo.co.id/image/venue/174217663164097.image_cropper_7F8583E5-845F-4A40-BABB-FE648F2064F4-27195-000003B14E626E38.jpg.jpeg"
,3.,"Padel Culture Club
06.00 - 21.00",Bandung,"Jl. Karang Layung No. 6, Sukajad",275.000/sesi,"1. Cafe
2. Parkir mobil
3. Parkir Motor
4. Toilet 
5. Ruang Ganti
6. Shower","public-20250122085550.jpg

https://gelora-public-storage.s3-ap-southeast-1.amazonaws.com/upload/public-20250122083301.jpg"
,4.,Alpha Padel Makassar,Makassar,"Jl. Metro Tj. Bunga No.2, Panambungan, Kec. Mariso, Kota Makassar,",300.000/sesi,"1. Cafe
2. Parkir mobil
3. Parkir Motor
4. Toilet 
5. Ruang Ganti
6. Shower","173908634412233.image_cropper_67449105-7C3B-470F-B5DF-CCB358659821-38726-00004301C9ED6129_large.jpg

https://harian.fajar.co.id/wp-content/uploads/2025/02/IMG-20250210-WA0032.jpg"
,5.,Padel People,Medan,"Jl. HM. Said No.8, Perintis, Kec. Medan Tim., Kota Medan",300.000/sesi,"1. Cafe dan Resto
2. Parkir mobil
3. Parkir Motor
4. Toilet 
5. Shower","172654909376918.image_cropper_993B96C1-603E-4DBC-9A95-69F0FA4630BA-16489-0000081654A35BD4_large.jpg

https://c61.hongcdn.com/uploads-gzun/2505/4-4672-!j.m.webp"
,6.,Padel Ground Semarang,Semarang,"Padel Ground
Jl. Dr. Wahidin No. 41, Candi, Candisari, Kota Semarang",250.000 - 300.000/sesi,"1. Cafe dan Resto
2. Parkir mobil
3. Parkir Motor
4. Toilet 
5. Shower
6. Mushalla","01k1sczq46nj7ydatkzbc4gf3h.jpg

https://asset.ayo.co.id/image/venue/174053619084958.image_cropper_9BE45206-8DDE-4A2A-B01C-1D72AFD39B74-1008-00000047F916FC54.jpg_large.jpeg"
,7.,Padel Guru Jogjakarta,Jogja,Jl. Cokroaminoto Jogjakarta,225.000 - 250.000/sesi,"1. Cafe dan Resto
2. Parkir mobil
3. Parkir Motor
4. Toilet 
5. Shower
6. Mushalla","https://asset.ayo.co.id/image/venue/173373785049811.image_cropper_52CFBCC1-2891-4C79-BBE0-D912CDF3AD9B-3544-0000015E7559BAA5_large.jpg

https://gelora-public-storage.s3-ap-southeast-1.amazonaws.com/upload/public-20241213104407.jpg"
,8.,Liga Tennis & Padel Sanur,Denpasar,"Jl. Bypass Ngurah Rai No.77, Sanur, Denpasar Selatan",350.000/jam,"1. Gym
2. Butique
3. Shower","https://liga.tennis/public/cache/images/4/7/2/7/9/f68ee6f2df2efa889e1e30c5b36bf8ad_1920_5760.jpg 

https://liga.tennis/public/cache/images/3/4/7/1/5/1b06b43800498246179c14d514a8e7d5_1920_5760.jpg"
,9.,Reverse Padel Club Palembang,Palembang,"Jl. R. Sukamto No.55, 20 Ilir D II, Kec. Kemuning, Kota Palembang, Sumatera Selatan 30164",300.000/sesi,"1. Cafe dan Resto
2. Parkir mobil
3. Parkir Motor
4. Toilet 
5. Shower",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr3h1EVX5tonlqDz7zj-72Apn07HtR9L8qiE9z66YX8l-QhxIUvBvOl-J4WmpX2F8-V_Wn5RqE8ghrOGYMA9aj2TLqJ68hSCsKoZsf2obKQKSp6F021v0ndP9xadbCsTnbsUrHQpHXxVEkn=s1360-w1360-h1020
,10.,Raxa Padel Club,Tangerang,"Jl. Wana Mulya Utama No.9, Karang Mulya, Kec. Karang Tengah, Kota Tangerang, Banten 15157",330.000/sesi,"1. Cafe
2. Parkir mobil
3. Parkir Motor
4. Toilet 
5. Ruang Ganti
6. Shower","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqiZTQpqXTMfRMNlc0C1GFDBDSmcLoGHHleinoyY-519uFPW5zyH3i7AHmtqy7hVonjP4IsOUOZKjojMGJI1ln0jMi44wq43-ET8UNqSqTR4yql3EYlPjstFEf4K9iPlo7Xd-VU2nVYQjM=s1360-w1360-h1020

https://asset.ayo.co.id/image/venue/175599621519126.image_cropper_1755996159780.jpg.jpeg"
