,,,,,,,
,TENNIS MEJA,,,,,,
,No,Nama Lapangan,Kota,Lokasi ,Rentang Harga,Fasilitas,Image Address
,1.,PTM Liga Mas,Jakarta,"Jl. Pancoran Timur IIIB No.1, RT.11/RW.9, Pancoran, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780",Rp25.000 - Rp60.000/jam,1. Toilet,"https://lh3.googleusercontent.com/p/AF1QipNFQ_td7BQsFHzSfhAw6UIHWNs46yIOp9u--Zvy=s1360-w1360-h1020-rw

https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrM-xyMMKASqEdy3ck5KF7Y_NCCXKuzctuDA-zorpCJsJftjUIK7lJ-h2i5i4EzKv53YtJKtVw6fFUz1HlXsu96VO9Ldpkv_cLf9nze0OOAVk16sb8LW9DWN4gzkHKHEhUhhLOp=s1360-w1360-h1020-rw"
,2.,PTM T.S.B 20 (TAMAN SARI BAWAH),Bandung,"3JW4+WM2, Tamansari, Bandung Wetan, Bandung City, West Java 40116",Rp20.000 - Rp50.000/jam,-,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4noEzBc-S-fwI2J5XgsxdtuZ3F0LS4pOMElBpDvo7BO4sbuX4ZREz4tBa-ac6FP44lPm6cJJjELxnASEcQModLBD4GBuuytvksYZhHVtT8B_GS8P8Cm76sbBoA7d8AGGrbrLGgU=s1360-w1360-h1020-rw

https://lh3.googleusercontent.com/gps-cs-s/AC9h4npnk2BGlQYMPZ75H_jg9yr4EjX0LjG3jCYDskhBcL7p0pJ81eJkv4MeepV7Rjaf17nV6wjyZY0xEFkpXk23ZkPBkPVBCVJQw1nbzZTIq0AhzcQ0vG2wwllgCZkRRPSqV0Dc2kVJ=s1360-w1360-h1020-rw"
,3.,PTM PRINGGONDANI,Tangerang,"RJMM+265 Asrama polisi, Jl. Ks. Tubun Gang Pringgondani, RT.003/RW.004, Ps. Baru, Kec. Karawaci, Kota Tangerang, Banten 15112",Rp20.000 - Rp50.000/jam,1. Toilet,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4noFFvAe4S_OjJaSzIkWLF2q5agYJZMV9GUJXEmmrNkWKVbz4lmx-hjDXdMY4jyBuWqvlKBR2NrgiNGCUP40h0-DCuJHUraFI3dOVNpqa7uRldKLuDSjd8qXwUuJua-9eBa8vz4=s1360-w1360-h1020-rw

https://lh3.googleusercontent.com/gps-cs-s/AC9h4npXRErmGWRMmDdBxMwIkZpBgGVvrlpftKHZPBRtyuau0SNsSZpJSfpgKuNS0xk9wkmz-uv0T9AT0lENz_bxmf5_57ZO1rQJ_R9QGdNJ4G4eU4-BBrLag2l1F1aFzMM68ujIAkps=s1360-w1360-h1020-rw"
,4.,PTM Pranata Surabaya,Surabaya,"Jl. Petemon III No.136, Petemon, Kec. Sawahan, Surabaya, Jawa Timur 60252",Rp20.000 - Rp50.000/jam,1. Toilet,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrqedFF1ONdoMJYxHNXB7SHwDt1-HaGtYML0ei3KoxrTfBpoG0srg-OkTH1eRlm71HK5XNw5wT8VdsNt_r39u9lELzYthG7j5Pcgg1cL7tFk5TenRR9rMZMpC4U9uVKbiy51AuLUw=s1360-w1360-h1020-rw

https://lh3.googleusercontent.com/gps-cs-s/AC9h4npoMfLm1SC83AIxVjUvRfmjuftj4P3GUcGJUY-isItS8addRaFZRSvjqvhqeyTgmUy3KaQpVdc2jO6E5HoX1vMCrVKDvtvUhlo2sR5Q4zUhbmXv3Vk0cbn_Vfi-SZLpFEIsCb9p=s1360-w1360-h1020-rw"
,5.,GOR Tenis Meja Puri Taman Sari,Makassar,"Kassi-Kassi, Rappocini, Makassar City, South Sulawesi 90233",Rp20.000 - Rp40.000/jam,-,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4noyrFVB66IwROCjbnjQQc5ExiK2XyN0mjTR9WDmD9clOV6Lcv5wi4jFHMKRIguoqeuxDFGwR72eZZfE__FOD1OfDbso8_ftHv8H1SgbWY7j-AEdN6pD9bZLlc9df1lx69_jqjpet2eP2ylf=s1360-w1360-h1020-rw

https://lh3.googleusercontent.com/p/AF1QipOnx8Qatq2Nj6f64qkJyl6WLjHWzSUlvr7tRqHm=s1360-w1360-h1020-rw"
,6.,PTM MMC YOGYAKARTA,Jogja,"Manukan, Condong Catur, Depok, Sleman Regency, Special Region of Yogyakarta 55281",Rp20.000 - Rp50.000/jam,1. Toilet,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4noOUUKOFm2C5QQe-9dzfSSTUBusatG8ca2lHvNzeJbn1hEqt4C5oaiEPTcYHx_NTv9qyXr6Fj21ahbujBHYADIdoO96LbM7qVxp_Jri8ywSIqbhuigfgKJ-xQc1VZKbFiEW9Q_5=s1360-w1360-h1020-rw

https://lh3.googleusercontent.com/gps-cs-s/AC9h4nreXBLLm1zkGgRq0v1-VKkkwTwuBt8Ihnd17FfIrTrtS0hiEt-Md8oC-jHZNxsvoudE79lLObBYJFgWouEC6SOpN3FyYkIeEAO34ScykB2s-DV_M5Tj-sZKgseb5eKs_34HK8M6dA=s1360-w1360-h1020-rw"
,7.,Basecamp PTMSI Kota Denpasar,Denpasar,"Jl. Hasanuddin No.30, Dauh Puri Kangin, Kec. Denpasar Bar., Kota Denpasar, Bali 80112",Rp20.000 - Rp45.000/jam,1. Toilet,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqqbQf4_X5KWaTbd0xTeFnZK1Y6-i0rzsAZzTtDTGsNnMhIKAQXCUmxKeG07MlJ_DIM_rIaG56tVBVbrZuUrAGndNfbIp-vf7DeM_3wrFs1oVI1sTQnQfMLZEuXXryHM3O6RoRorw=s1360-w1360-h1020-rw

https://lh3.googleusercontent.com/gps-cs-s/AC9h4no2yXyuIHkZyZw_SwvM4A8i6n04CoVEqxA257QBF7Je2C2eu6-QdkZWIvOOtfXtx9FqBJZ0HuahprKtp1eVfIs6HTAeV1kZDavcInNX_kfT5PwJ4EjVvMHwgZ3fE-cp2ed6IAD1=s1360-w1360-h1020-rw"
,8.,Pitstop Xiom Table Tennis Center,Palembang,"30961, Bukit Sangkal, Kec. Kalidoni, Kota Palembang, Sumatera Selatan 30961",Rp15.000 - Rp40.000/jam,-,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4npkTWdi4aGP2X7-sTHuQcJNzzeh2qCJzFlOSZs6qTMNKCDQNjf36vQqQk1s6ZMPmcocpkyi8nIp0oUOcXg2fsoZ6YdQMEVosdKUG7m0G7Hl_XryWarbKSIZRuCjt7HNTGZTnxUO=s1360-w1360-h1020-rw

https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqAntiH33hUenmzOaj-Yu0AQT5g1uiyIdygNFALQmAhz9zOh3SPtHbTuKCgN-DALqzb1otXQOmIt211XBaBnaZGRO6gL_4cf6tEIfsj97Ix37jQMfDhJg_zdK68mALbmljLOqWo=s1360-w1360-h1020-rw"
,9.,PTM M3,Semarang,"Near PTM M3, Siwalan, Kec. Gayamsari, Kota Semarang, Jawa Tengah 50162",Rp15.000 - Rp40.000/jam,-,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrZP6lD0tn5eEoGZcaJ95YM5omD-ayMOMSiiPfJbzQzcCs0JG0bRGPqgiTi-DbvGdk6S2ZCsgix2UflH3kjctG0CUrXOP0MJvUL-2DHxHms8dWEaypQSoeh8xoztP9yx-RFyJGd=s1360-w1360-h1020-rw

https://lh3.googleusercontent.com/p/AF1QipMsdwp9aYSjjjmcMy5iSbjYpWeQcJX8KdOfxIAT=s1360-w1360-h1020-rw"
