,,,,,,,
,Volley Ball,,,,,,
,No,Nama Lapangan,Kota,Lokasi ,Rentang Harga,Fasilitas,Image Address
,1.,Pertamina Arena Simprug,Jakarta,"Jl. Teuku Nyak Arief No.25 RT.7/RW.8 Grogol Selatan, Kec.Kby.Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Rp 1.100.000 / 2 jam,"1. Musholla
2. Parkir Motor
3. Ruang Ganti
4. Shower
5. Toilet
6. Tribun Penonton
7. Parkir Mobil",https://asset.ayo.co.id/image/venue/173915285552688.image_cropper_764DEC57-BBA4-4254-B9CE-D044CBD56CC6-437-0000001EE1F4787D_large.jpg 
,2.,Bandung Indoor Volley Court,Bandung,"Jl. Raya Darmo No. 45, Wonokromo, Surabaya",Rp 1.200.000 - Rp 1.700.000 / 2 jam,"1. 2 Lapangan Indoor Semi AC
2. Area Latihan Gym Ringan
3. Musholla
4. Ruang Ganti
5. Toilet Bersih
6. Area Kantin
7. Area Parkir Luas
8. Area Duduk Penonton","https://blue.kumparan.com/image/upload/fl_progressive,fl_lossy,c_fill,f_auto,q_auto:best,w_640/v1626144173/yzwj2mnyo4d5ehbc9phg.jpg    https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj2_WsFqCZEBD1LZN3fdAQu_EW6jSrj7u9ES26bKLHxWSof3014cqF5vIZIPvY4wnleR-GhNcOxEmdI0a8Rtn2yn_XygHvP7gW8Rtr-_v_st1jYm0SwJBadhQhAdjSiiysF27YuH1ZvIvht/s1600/tinggi+net+bola+voli.jpg "
,3.,British School Jakarta,Tangerang,"Bintaro Jaya Sektor 9 Jl. Raya Jombang, Pondok Aren Tangerang Selatan 15427 Indonesia",Rp 1.250.000 / 2 jam,"1. Musholla
2. Toilet
3. Parkir Mobil
4. Ruang Ganti
5. Parkir Motor
6. Wi-Fi
7. Cafe & Resto","https://asset.ayo.co.id/image/venue-field/173925782926920.fbea41cc9980.jpg 

https://asset.ayo.co.id/image/venue-field/173926349633331.0f33cc6d4052.jpg "
,4.,Surabaya Indoor Volley Court,Surabaya,"Jl. Raya Darmo No. 45, Wonokromo, Surabaya",Rp 1.000.000 - Rp 1.500.000 / 2 jam,"1. Indoor Full-AC 
2. Tribune Kecil
3. Ruang Ganti
4. Shower
5. Toilet Bersih
6. Area Parkir Mobil
7. Area Parkir Motor
8. Area Tunggu
9. Kantin
10. Wi-Fi",https://www.lantaikayu.biz/wp-content/uploads/2022/05/lantai-vinyl.jpg https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhdJEna8FCcT_inZ_Ul5lD3Yw376m9qkPYucxry_wP6Jq3Is0IkiEGU5M137sfTcWjhItt2tB-QM4eaW722phG1jfH_oIaD1J9bsX712PdZteqQt2iCIcHZ5zJHbZiVa0aBpU2Ju53cfK3mfJBe5M8wXdjt9zzB2utGYk3FRN-U7dsWwlJR243vhvZzTA/s840/Material%20Lantai%20Voli%20Terbaik%20%204.jpg 
,5.,Gowa Indoor Volleyball Court,Makassar,"Jl. Sultan Alauddin No. 70, Gowa, Makassar",Rp 900.000 - Rp 1.400.000 / 2 jam,"1. Indoor
2. 1 Lapangan Taraf Turnamen
3. Area Duduk 150 Kursi
4. Toilet Bersih
5. AC
6. Area Tunggu
7. Parkir Luas
8. Ruang Ganti
9. Kantin Kecil
10. Mushola"," https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjo5IwkeZiGgpCdLBoS8BD1PNlr91ofbEwY2_Rd7wm2dwrneV-nddyTAZgtZ3Fx4aZDLwgw9848qN0rTx5nmfXPe9d1E3G-dptO92ppx0QYKNNjGvXxrhD3MHg4qsGxaB1tqL8bQdc50GDpCDmU6nbevDAYCJ0dP_8EJaYzBQMcJzi467-POUYurqaT_LQ/s612/voli16.webp
  https://blue.kumparan.com/image/upload/fl_progressive,fl_lossy,c_fill,f_auto,q_auto:best,w_640/v1632120357/pxhkigzxefabfsfrmpzn.jpg  "
,6.,Jogja Sport Hall Volleyball Court,Jogja,"Jl. Kaliurang Km 5, Sleman, Yogyakarta",Rp 1.100.000 - Rp 1.800.000 / 2 jam,"1. Indoor AC
2. 2 Lapangan Bersebelahan
3. Ruang Ganti
4. Area Tunggu Nyaman
5. Tribun Penonton
6 Kantin & Vending Machine
7. Toilet Bersih
8 Parkir Luas
9. Wi-Fi
10. Fasilitas Medical Box",https://png.pngtree.com/thumb_back/fh260/background/20220209/pngtree-view-of-a-volleyball-field-copy-space-stadium-net-photo-image_29224000.jpg https://png.pngtree.com/background/20240804/original/pngtree-view-of-a-volleyball-field-sport-field-event-photo-picture-image_9967714.jpg 
,7.,Denpasar Sport Hall Volleyball Court,Denpasar,"Jl. Gatot Subroto Barat No. 9, Denpasar",Rp 1.300.000 - Rp 2.000.000 / 2 jam,"1. Indoor Taraf Nasional
2. 2 Lapangan
3. Shower
4. Ruang Ganti Luas
5. AC
6. Area Duduk Penonton
7. Area Parkir Besar
8. Kantin
9. Area VIP Lounge",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgR4W3dq7g8wu3JM40bP41CDVvyftUkqbOI3bXjvxKwzVwiyUfCrZvfjcDgcANPxgqlStTcO-FAAkoce75TJ7ik1ugQetzfm6eGeTaWCNncX1Lw9rDyMm2fuwFKwKmo5KcsiNgNyXRQSTT-hDPYRAkJVgg6n8H3pKy1z45a4j4Ll_i5_Di5gvFkyEcHE89T/s960/lantai%20lapangan%20voli%20(3).jpg https://cdn.prod.website-files.com/632871e15b53a0140af28aeb/671bf1d389bb200b00e30fe2_6477f93c74c85d877d239c21_1.jpg 
,8.,Palembang Sport Volley Court,Palembang,"Jl. Demang Lebar Daun No. 8, Palembang",Rp 1.100.000 - Rp 1.700.000 / 2 jam,"1. Indoor ber-AC
2. Lapangan Taraf FIVB
3. Toilet Bersih
4. Ruang Ganti
5. Area Tunggu
6. Musholla
7. Kantin Kecil
8. Area Parkir Luas
9. Area Tribun 200 Kursi",https://png.pngtree.com/thumb_back/fh260/background/20250820/pngtree-dynamic-volleyball-arena-with-blue-bleachers-and-dramatic-lighting-sports-concept-image_18116365.webp https://png.pngtree.com/background/20250124/original/pngtree-volleyball-in-an-empty-gym-picture-image_15573425.jpg 
,9.,PB Handayani Volley Field,Semarang,"Jl. Majapahit No. 25, Semarang Timur",Rp 1.000.000 - Rp 1.600.000 / 2 jam,"1. Outdoor dengan Permukaan Semen Anti-Slip
2. Penerangan Malam LED
3. Area Parkir Luas
4. Toilet Bersih
5. Tribun Kecil
6. Musholla
7. Area Istirahat Beratap
8. Mini Kantin",https://sman2mojokerto.sch.id/wp-content/uploads/2024/12/DSC_9515-1-1024x683.jpg https://sman2mojokerto.sch.id/wp-content/uploads/2024/12/DSC_9514-scaled.jpg 
